account,asset,entry_time,entry_price,position_size,exit_time,exit_price,Close volume,Price PnL,profit_ticks,PnL,Comment,exchange,direction,order_id_entry,order_id_exit,source_file,comment,commission,PnL_net,duration_minutes,notes,emotion,situation
DEMO262F9,MESM5@CME_Ind,2025-05-23 13:18:11.212,5832.5,-2,2025-05-23 13:29:15.354,5836.5,2,-4.0,-16,-40.0,,CME,Sell,8234111881,8234112424,ATAS_statistics_23052025_23052025.xlsx,,0,-40.0,11.069033333333334,,,
DEMO262F9,MESM5@CME_Ind,2025-05-23 14:06:34.517,5842.25,-2,2025-05-23 14:19:50.203,5832.0,2,10.25,41,102.5,,CME,Sell,8234114584,8234115339,ATAS_statistics_23052025_23052025.xlsx,,0,102.5,13.261433333333336,,,
APEX-298755-08,ESM5@CME,2025-05-20 09:49:18.937000,5954.0,2,2025-05-20 09:50:45.788000,5952.5,-2,-1.5,-6,-150.0,,CME,Buy,1430515,1424613,ATAS_statistics_20052025_20052025.xlsx,,0,-150.0,1.4475166666666666,,,
APEX-298755-08,ESM5@CME,2025-05-20 09:50:52.435000,5953.0,2,2025-05-20 09:51:07.366000,5951.5,-2,-1.5,-6,-150.0,,CME,Buy,1428781,1428063,ATAS_statistics_20052025_20052025.xlsx,,0,-150.0,0.24885,,,
APEX-298755-08,ESM5@CME,2025-05-20 10:05:53.495000,5962.75,2,2025-05-20 10:06:41.267000,5962.75,-2,0.0,0,0.0,,CME,Buy,1451146,1451649,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,0.7962,,,
APEX-298755-08,ESM5@CME,2025-05-20 10:56:54.272000,5966.0,2,2025-05-20 10:57:26.053000,5964.75,-2,-1.25,-5,-125.0,,CME,Buy,1508187,1507459,ATAS_statistics_20052025_20052025.xlsx,,0,-125.0,0.5296833333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 10:57:31.905000,5965.5,1,2025-05-20 10:57:45.694000,5961.5,-1,-4.0,-16,-200.0,,CME,Buy,1505491,1506940,ATAS_statistics_20052025_20052025.xlsx,,0,-200.0,0.22981666666666667,,,
APEX-298755-08,ESM5@CME,2025-05-20 10:57:47.793000,5962.5,1,2025-05-20 10:58:34.405000,5961.0,-1,-1.5,-6,-75.0,,CME,Buy,1506626,1508362,ATAS_statistics_20052025_20052025.xlsx,,0,-75.0,0.7768666666666667,,,
APEX-298755-08,ESM5@CME,2025-05-20 10:59:18.351000,5962.25,1,2025-05-20 10:59:46.610000,5960.5,-1,-1.75,-7,-87.5,,CME,Buy,1511822,1510245,ATAS_statistics_20052025_20052025.xlsx,,0,-87.5,0.47098333333333336,,,
APEX-298755-08,ESM5@CME,2025-05-20 11:03:49.799000,5961.75,-1,2025-05-20 11:05:09.816000,5961.5,1,0.25,1,12.5,,CME,Sell,1517928,1516043,ATAS_statistics_20052025_20052025.xlsx,,0,12.5,1.3336166666666667,,,
APEX-298755-08,ESM5@CME,2025-05-20 11:11:50.840000,5963.5,-1,2025-05-20 11:13:13.681000,5963.5,1,0.0,0,0.0,,CME,Sell,1521784,1522420,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,1.3806833333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 11:14:20.864000,5963.5,-1,2025-05-20 11:14:50.413000,5963.5,1,0.0,0,0.0,,CME,Sell,1523927,1523802,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,0.49248333333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:08:14.777000,5958.25,1,2025-05-20 12:09:03.055000,5956.75,-1,-1.5,-6,-75.0,,CME,Buy,1557390,1555549,ATAS_statistics_20052025_20052025.xlsx,,0,-75.0,0.8046333333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:09:33.084000,5957.0,1,2025-05-20 12:10:33.906000,5955.5,-1,-1.5,-6,-75.0,,CME,Buy,1557105,1558422,ATAS_statistics_20052025_20052025.xlsx,,0,-75.0,1.0137,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:10:44.942000,5955.0,1,2025-05-20 12:11:10.932000,5953.5,-1,-1.5,-6,-75.0,,CME,Buy,1562391,1555419,ATAS_statistics_20052025_20052025.xlsx,,0,-75.0,0.43316666666666664,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:11:13.375000,5953.5,1,2025-05-20 12:25:05.559000,5953.5,-1,0.0,0,0.0,,CME,Buy,1557831,1556961,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,13.869733333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:11:17.188000,5953.25,1,2025-05-20 12:25:05.559000,5953.5,-1,0.25,1,12.5,,CME,Buy,1564671,1562138,ATAS_statistics_20052025_20052025.xlsx,,0,12.5,13.806183333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:25:13.671000,5953.5,1,2025-05-20 12:41:06.861000,5961.75,-1,8.25,33,412.5,,CME,Buy,1572522,1575813,ATAS_statistics_20052025_20052025.xlsx,,0,412.5,15.886500000000002,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:52:43.012000,5963.5,-1,2025-05-20 12:55:20.853000,5966.0,1,-2.5,-10,-125.0,,CME,Sell,1580044,1580047,ATAS_statistics_20052025_20052025.xlsx,,0,-125.0,2.6306833333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:55:27.500000,5965.25,-1,2025-05-20 12:56:22.747000,5966.0,1,-0.75,-3,-37.5,,CME,Sell,1578092,1580590,ATAS_statistics_20052025_20052025.xlsx,,0,-37.5,0.9207833333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 12:56:34.350000,5966.0,-1,2025-05-20 13:00:44.885000,5966.0,1,0.0,0,0.0,,CME,Sell,1579730,1578376,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,4.175583333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 13:01:21.744000,5967.0,-1,2025-05-20 13:02:30.045000,5967.0,1,0.0,0,0.0,,CME,Sell,1579887,1582977,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,1.13835,,,
APEX-298755-08,ESM5@CME,2025-05-20 13:11:02.898000,5967.75,-1,2025-05-20 13:12:28.500000,5967.75,1,0.0,0,0.0,,CME,Sell,1585797,1583690,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,1.4267,,,
APEX-298755-08,ESM5@CME,2025-05-20 13:12:36.128000,5967.0,-1,2025-05-20 13:13:40.042000,5967.0,1,0.0,0,0.0,,CME,Sell,1589861,1585967,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,1.0652333333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 13:13:50.157000,5967.25,-1,2025-05-20 13:14:09.814000,5968.75,1,-1.5,-6,-75.0,,CME,Sell,1581952,1614588,ATAS_statistics_20052025_20052025.xlsx,,0,-75.0,0.32761666666666667,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:21:11.838000,5952.25,1,2025-05-20 14:21:15.597000,5950.5,-1,-1.75,-7,-87.5,,CME,Buy,1613239,1613563,ATAS_statistics_20052025_20052025.xlsx,,0,-87.5,0.06265,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:21:19.903000,5947.75,1,2025-05-20 14:21:20.724000,5946.25,-1,-1.5,-6,-75.0,,CME,Buy,1616859,1616666,ATAS_statistics_20052025_20052025.xlsx,,0,-75.0,0.013683333333333332,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:21:21.915000,5946.0,1,2025-05-20 14:26:39.586000,5946.0,-1,0.0,0,0.0,,CME,Buy,1617754,1620763,ATAS_statistics_20052025_20052025.xlsx,,0,0.0,5.2945166666666665,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:26:46.257000,5946.75,1,2025-05-20 14:39:52.893000,5946.0,-1,-0.75,-3,-37.5,,CME,Buy,1620487,1621786,ATAS_statistics_20052025_20052025.xlsx,,0,-37.5,13.1106,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:28:02.887000,5944.5,1,2025-05-20 14:39:52.893000,5946.0,-1,1.5,6,75.0,,CME,Buy,1619271,1621582,ATAS_statistics_20052025_20052025.xlsx,,0,75.0,11.833433333333334,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:29:05.440000,5939.25,1,2025-05-20 14:39:52.893000,5946.0,-1,6.75,27,337.5,,CME,Buy,1627804,1627467,ATAS_statistics_20052025_20052025.xlsx,,0,337.5,10.790883333333333,,,
APEX-298755-08,ESM5@CME,2025-05-20 14:29:40.233000,5939.5,1,2025-05-20 14:39:52.893000,5946.0,-1,6.5,26,325.0,,CME,Buy,1625169,1628224,ATAS_statistics_20052025_20052025.xlsx,,0,325.0,10.211,,,
